Country,Total Sales
China,294602372.0
Usa,109558951.0
Japan,75697256.0
Germany,57227313.0
India,44729470.0
Brazil,39623738.0
Uk,39510763.0
France,35880303.0
Russia,33306628.0
Italy,32527330.0
South Korea,23590420.0
Spain,19574503.0
Iran,14843867.0
Australia,12455695.0
Mexico,12381921.0
Canada,11776118.0
Indonesia,11274558.0
Turkey,9600159.0
Malaysia,9189997.0
Belgium,8979188.0
Saudi Arabia,8482138.0
Argentina,8074294.0
Netherlands,7818357.0
Thailand,6907725.0
South Africa,6758194.0
Poland,6427875.0
Austria,5536364.0
Sweden,5467066.0
Switzerland,5191584.0
Taiwan,4504798.0
Chile,4134977.0
Israel,3843225.0
Colombia,3667761.0
Czechia,3582768.0
Ukraine,3406663.0
Egypt,3251833.0
Denmark,3225248.0
Portugal,3209896.0
Pakistan,2769133.0
Ua Emirates,2695944.0
Romania,2543619.0
Greece,2479219.0
Norway,2468838.0
Philippines,2170699.0
Ireland,2117765.0
Morocco,2099442.0
Vietnam,2071851.0
Finland,2068265.0
Hungary,1982984.0
Algeria,1949367.0
Oman,1727390.0
Peru,1689695.0
Kuwait,1657901.0
New Zealand,1559598.0
Ecuador,1362308.0
Slovakia,1352928.0
Kazakhstan,1189641.0
Uzbekistan,1176904.0
Iraq,1139303.0
Puerto Rico,1112343.0
Singapore,1090645.0
Venezuela,1049741.0
Croatia,915984.0
Slovenia,915818.0
Qatar,802071.0
Luxembourg,754265.0
Hong Kong,560790.0
Tunisia,530216.0
Syria,508683.0
Bulgaria,503323.0
Panama,502159.0
Bahrain,479666.0
Uruguay,456758.0
Lebanon,454919.0
Libya,447200.0
Costa Rica,408607.0
Serbia,383604.0
Belarus,346066.0
Estonia,324715.0
Nigeria,316150.0
Lithuania,295061.0
Jordan,275550.0
Bangladesh,237550.0
Botswana,232157.0
Paraguay,224751.0
Palestine,221251.0
Latvia,211670.0
Cyprus,211080.0
Guatemala,210516.0
Brunei,200301.0
Bosnia & Herz.,181257.0
Iceland,178571.0
Domin. Rep.,177303.0
Azerbaijan,170746.0
Bolivia,164838.0
Angola,149080.0
Tr.&Tobago,141959.0
Sri Lanka,124777.0
N. Caledonia,101374.0
Malta,96450.0
North Macedonia,90918.0
Mauritius,88963.0
Moldova,82726.0
El Salvador,81937.0
Tajikistan,76300.0
Nicaragua,71962.0
Armenia,69370.0
Turkmenistan,68725.0
Honduras,68095.0
Ghana,66528.0
Guyana,63464.0
Ivory Coast,60249.0
Laos,58315.0
Nepal,56009.0
Kyrgyzstan,55748.0
Senegal,54751.0
Georgia,52654.0
Cuba,49536.0
Jamaica,42951.0
Zimbabwe,42432.0
Kenya,42092.0
Yemen,39332.0
Uganda,37923.0
Mongolia,34790.0
Bahamas,31596.0
Sudan,31586.0
Burma,30511.0
Zambia,30460.0
Tanzania,30011.0
Albania,28150.0
Gabon,27544.0
Cameroon,24496.0
Cambodia,21124.0
Madagascar,16410.0
Malawi,15821.0
R. Of Congo,11700.0
Burkina Faso,10100.0
Burundi,4754.0
Dr Congo,4600.0
Belize,3420.0
Liberia,3292.0
