Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales
China,3971101.0,5175961.0,6297538.0,6755609.0,10331315.0,13757794.0,14472416.0,15495240.0,17927730.0,19707677.0,21210339.0,24376902.0,24718321.0,23709782.0,21472092.0,20177731.0,21481537.0,23563287.0,294602372.0,16366798.444444444
India,1106863.0,1311373.0,1511812.0,1545414.0,1816878.0,2387197.0,2510313.0,2781919.0,2553979.0,2570736.0,2772270.0,2966637.0,3229109.0,3394756.0,2962115.0,2433464.0,3082279.0,3792356.0,44729470.0,2484970.5555555555
Japan,4748482.0,4612318.0,4325508.0,4184266.0,3905310.0,4203181.0,3509036.0,4572333.0,4562282.0,4699591.0,4215889.0,4146459.0,4386378.0,4391160.0,4301091.0,3809977.0,3675698.0,3448297.0,75697256.0,4205403.111111111
Usa,7659983.0,7761592.0,7562334.0,6769107.0,5400890.0,5635432.0,6089403.0,7241900.0,7585341.0,7749432.0,7516826.0,6872729.0,6080229.0,5303580.0,4719710.0,3401838.0,3350050.0,2858575.0,109558951.0,6086608.388888889
Germany,3319259.0,3467961.0,3148163.0,3090040.0,3807175.0,2916259.0,3173634.0,3082504.0,2952431.0,3036773.0,3206042.0,3351607.0,3441262.0,3435778.0,3607258.0,2917678.0,2622132.0,2651357.0,57227313.0,3179295.1666666665
Uk,2439717.0,2344864.0,2404007.0,2131795.0,1994999.0,2030846.0,1941253.0,2044609.0,2264737.0,2476435.0,2633503.0,2692786.0,2540617.0,2367147.0,2311140.0,1631064.0,1647181.0,1614063.0,39510763.0,2195042.388888889
Brazil,1439822.0,1632947.0,2085718.0,2341300.0,2643862.0,2856540.0,2901647.0,3115223.0,3040783.0,2794687.0,2123009.0,1676722.0,1856450.0,2101884.0,2262069.0,1615942.0,1558467.0,1576666.0,39623738.0,2201318.777777778
France,2118042.0,2045745.0,2109672.0,2091369.0,2302398.0,2251669.0,2204229.0,1898760.0,1790456.0,1795885.0,1917226.0,2015177.0,2110748.0,2173481.0,2214280.0,1650126.0,1659005.0,1532035.0,35880303.0,1993350.1666666667
South Korea,893159.0,932650.0,1010790.0,1017595.0,1221118.0,1237482.0,1293501.0,1256403.0,1243868.0,1359834.0,1533670.0,1533813.0,1526660.0,1525150.0,1497035.0,1618333.0,1468873.0,1420486.0,23590420.0,1310578.888888889
Italy,2244108.0,2335462.0,2494115.0,2161359.0,2159465.0,1961580.0,1749740.0,1403010.0,1304648.0,1360578.0,1575737.0,1824968.0,1970497.0,1910025.0,1916949.0,1381496.0,1456674.0,1316919.0,32527330.0,1807073.888888889
